"caseid","SurveyId","v000","v005","v007","v012","v021","v022","v025","v119","v121","v133","v136","v157","v158","v159","v190","v191","v212","v301","v364","v501","v503","v531","v536","v613","v714","v715","v717","v836"
"       23715  1","AM2016DHS","AM7",1096605,2016,36,237,14,2,1,1,10,3,1,1,2,1,-164327,23,3,4,3,1,20,3,2,1,NA,3,1
"       23715  2","GU2015DHS","GU6",892074,2015,49,237,10,1,1,1,12,4,2,2,2,4,68319,17,3,1,1,2,15,1,4,1,18,2,2
"       23715  3","GU2015DHS","GU6",892074,2015,15,237,10,1,1,1,9,4,2,2,2,4,68319,NA,3,3,0,NA,13,3,2,0,NA,0,1
"       23716  2","AM2016DHS","AM7",1096605,2016,36,237,14,2,1,1,10,4,2,1,2,3,39787,20,3,2,1,1,19,1,3,1,10,3,1
"       23716  3","GU2015DHS","GU6",892074,2015,25,237,10,1,1,1,16,5,2,2,2,4,79528,22,3,3,1,1,21,3,2,0,12,0,1
"       23717  2","GU2015DHS","GU6",892074,2015,43,237,10,1,1,1,12,8,2,2,2,5,215125,19,3,1,1,1,97,1,4,1,17,3,1
"       23717  4","AM2016DHS","AM7",1096605,2016,32,237,14,2,1,1,10,6,2,0,2,2,-33592,28,3,2,1,1,28,1,3,0,10,0,1
"       23717  4","GU2015DHS","GU6",892074,2015,20,237,10,1,1,1,13,8,2,2,2,5,215125,NA,3,3,0,NA,0,0,2,1,NA,3,NA
"       23717  6","GU2015DHS","GU6",892074,2015,16,237,10,1,1,1,9,8,2,2,2,5,215125,NA,3,3,0,NA,0,0,2,0,NA,0,NA
"       23718  2","AM2016DHS","AM7",1096605,2016,46,237,14,2,1,1,15,2,1,0,2,2,-18445,25,3,4,1,1,24,1,3,1,12,1,1
"       23718  2","GU2015DHS","GU6",892074,2015,34,237,10,1,1,1,11,6,2,2,2,5,104563,18,3,1,2,2,17,1,2,0,9,3,2
"       23720  4","AM2016DHS","AM7",1096605,2016,25,237,14,2,1,1,10,6,1,0,2,3,47231,21,3,3,1,1,21,1,4,1,15,7,1
"       23721  4","AM2016DHS","AM7",1096605,2016,22,237,14,2,1,1,13,4,0,1,2,2,-7667,NA,3,4,0,NA,0,0,2,0,NA,0,NA
"       23723  4","GU2015DHS","GU6",892074,2015,27,237,10,1,1,1,6,6,2,2,2,5,164006,18,3,1,1,1,16,2,2,0,8,0,1
"       23724  2","AM2016DHS","AM7",1096605,2016,28,237,14,2,1,1,15,3,0,0,2,1,-138275,23,3,1,1,1,22,1,3,0,15,0,1
"       23725  2","GU2015DHS","GU6",892074,2015,46,237,10,1,1,1,12,8,1,0,2,5,160645,28,3,1,1,1,20,1,2,1,18,1,2
"       23728  1","AM2016DHS","AM7",1096605,2016,39,237,14,2,1,0,12,2,2,2,2,1,-223633,28,3,4,4,1,27,3,1,1,NA,3,1
"       238 1  2","GU2015DHS","GU6",999400,2015,20,238,11,2,1,1,9,3,2,2,2,5,121002,17,3,1,2,1,16,1,1,0,14,0,1
"       238 2  3","AM2016DHS","AM7",955276,2016,30,238,13,1,1,1,15,4,0,0,2,5,84882,29,3,3,1,1,28,1,3,1,15,1,1
"       238 2  3","GU2015DHS","GU6",999400,2015,24,238,11,2,1,1,8,8,2,2,2,4,54188,18,3,3,1,1,16,1,3,0,6,0,2
"       238 2  4","GU2015DHS","GU6",999400,2015,19,238,11,2,1,1,12,8,2,2,2,4,54188,NA,3,3,0,NA,0,0,3,1,NA,1,NA
"       238 3  4","GU2015DHS","GU6",999400,2015,31,238,11,2,1,1,12,7,2,2,2,5,150669,22,3,1,1,1,21,1,3,0,8,0,1
"       238 5  2","GU2015DHS","GU6",999400,2015,43,238,11,2,1,1,9,3,1,2,2,4,54816,18,3,3,1,1,17,3,3,1,6,3,1
"       238 5  3","GU2015DHS","GU6",999400,2015,16,238,11,2,1,1,9,3,1,2,2,4,54816,NA,3,3,0,NA,0,0,2,0,NA,0,NA
"       238 6  1","GU2015DHS","GU6",999400,2015,44,238,11,2,1,1,2,4,1,1,2,4,62210,23,3,4,5,1,23,3,2,0,6,0,1
"       238 6  2","GU2015DHS","GU6",999400,2015,15,238,11,2,1,1,7,4,2,2,2,4,62210,NA,3,1,2,1,15,1,2,0,6,0,1
"       238 7  1","AM2016DHS","AM7",955276,2016,38,238,13,1,1,1,10,3,0,0,2,4,56542,21,3,4,3,1,19,3,3,1,NA,3,1
"       238 7  2","AM2016DHS","AM7",955276,2016,17,238,13,1,1,1,11,3,2,0,2,4,56542,NA,0,4,0,NA,0,0,2,0,NA,0,NA
"       238 7  2","GU2015DHS","GU6",999400,2015,32,238,11,2,1,1,6,3,2,2,2,4,42637,26,3,1,2,2,23,1,2,1,5,9,2
"       238 8  3","AM2016DHS","AM7",955276,2016,28,238,13,1,1,1,13,5,0,0,2,4,61433,21,3,2,1,1,20,1,3,1,12,1,1
"       238 8  3","GU2015DHS","GU6",999400,2015,25,238,11,2,1,1,18,6,1,1,2,5,130329,NA,3,3,0,NA,0,0,2,1,NA,1,NA
"       238 8  5","GU2015DHS","GU6",999400,2015,21,238,11,2,1,1,13,6,2,2,1,5,130329,NA,3,1,0,NA,19,3,0,1,NA,1,1
"       238 8  6","GU2015DHS","GU6",999400,2015,17,238,11,2,1,1,7,6,2,2,2,5,130329,NA,3,3,0,NA,17,3,1,0,NA,0,1
"       238 9  1","AM2016DHS","AM7",955276,2016,38,238,13,1,1,1,0,2,2,0,2,3,52551,16,3,4,3,1,16,3,3,0,NA,0,1
"       238 9  2","GU2015DHS","GU6",999400,2015,22,238,11,2,1,1,1,5,0,0,0,2,-79469,13,3,1,2,2,12,1,3,0,5,0,3
"       23810  3","GU2015DHS","GU6",999400,2015,21,238,11,2,1,1,12,5,1,1,2,5,101696,NA,3,3,0,NA,17,3,3,1,NA,9,2
