"caseid","SurveyId","v000","v005","v007","v012","v021","v022","v025","v119","v121","v133","v136","v157","v158","v159","v190","v191","v212","v301","v364","v501","v503","v531","v536","v613","v714","v715","v717","v836"
"         1 1  1","GU2015DHS","GU6",1039388,2015,44,1,1,1,1,1,17,3,1,2,2,4,84665,26,3,4,0,NA,25,1,3,1,NA,96,3
"         1 1  2","GU2015DHS","GU6",1039388,2015,18,1,1,1,1,1,10,3,2,2,2,4,84665,NA,3,4,0,NA,0,0,2,0,NA,0,NA
"         1 1  4","AM2016DHS","AM7",2213166,2016,32,1,21,1,1,1,14,6,1,2,2,5,102338,22,3,3,1,1,21,1,2,0,10,0,1
"         1 4  4","AM2016DHS","AM7",2213166,2016,27,1,21,1,1,1,14,4,2,0,2,5,97324,NA,3,3,0,NA,0,0,3,1,NA,5,NA
"         1 4  4","GU2015DHS","GU6",1039388,2015,20,1,1,1,1,1,13,5,2,0,2,5,187960,NA,3,3,0,NA,0,0,2,0,NA,0,NA
"         1 5  2","GU2015DHS","GU6",1039388,2015,40,1,1,1,1,1,10,4,1,2,2,5,94718,24,3,4,5,1,17,2,1,1,6,3,3
"         1 6  2","AM2016DHS","AM7",2213166,2016,40,1,21,1,1,1,13,4,2,1,2,5,110335,23,3,3,1,1,22,1,2,1,15,1,1
"         1 6  2","GU2015DHS","GU6",1039388,2015,26,1,1,1,1,1,9,2,2,2,2,4,51073,NA,3,3,1,1,22,1,2,0,8,0,1
"         1 7  2","AM2016DHS","AM7",2213166,2016,27,1,21,1,1,1,14,3,1,2,2,4,55364,23,3,4,1,1,22,1,2,0,14,0,1
"         1 7  2","GU2015DHS","GU6",1039388,2015,41,1,1,1,1,1,18,3,0,2,2,5,202278,30,3,4,1,1,24,1,2,1,18,1,3
"         111  4","AM2016DHS","AM7",2213166,2016,27,1,21,1,1,1,14,5,2,2,2,5,101446,23,3,3,1,1,22,1,3,0,16,0,1
"         112  1","AM2016DHS","AM7",2213166,2016,36,1,21,1,1,1,10,5,1,2,2,3,43271,16,3,4,4,2,16,3,3,0,NA,0,2
"         112  3","GU2015DHS","GU6",1039388,2015,27,1,1,1,1,1,12,7,2,2,2,5,181351,23,3,1,1,1,18,1,1,1,12,7,2
"         113  2","GU2015DHS","GU6",1039388,2015,42,1,1,1,1,1,0,2,0,2,2,5,160341,17,3,1,5,2,16,3,5,1,6,9,2
"         113  4","AM2016DHS","AM7",2213166,2016,29,1,21,1,1,1,14,6,2,2,2,5,108251,NA,3,3,0,NA,0,0,2,1,NA,1,NA
"         113  6","AM2016DHS","AM7",2213166,2016,25,1,21,1,1,1,12,6,2,2,2,5,108251,24,3,1,1,1,23,1,3,0,15,0,1
"         114  2","AM2016DHS","AM7",2213166,2016,29,1,21,1,1,1,15,6,2,2,2,5,103920,21,3,3,1,1,20,1,4,0,15,0,1
"         114  3","GU2015DHS","GU6",1039388,2015,25,1,1,1,1,1,18,5,2,2,2,5,197455,NA,3,1,0,NA,19,1,0,1,NA,1,1
"         115  2","AM2016DHS","AM7",2213166,2016,38,1,21,1,1,1,14,4,1,0,2,5,97334,21,3,1,1,1,20,1,3,0,15,0,1
"         115  3","AM2016DHS","AM7",2213166,2016,16,1,21,1,1,1,12,4,0,0,2,5,97334,NA,3,4,0,NA,0,0,1,0,NA,0,NA
"         116  2","GU2015DHS","GU6",1039388,2015,47,1,1,1,1,1,16,3,2,2,2,5,189244,NA,3,4,2,1,20,3,2,1,17,1,6
"         117  2","GU2015DHS","GU6",1039388,2015,36,1,1,1,1,1,17,4,1,1,1,5,238337,32,3,1,1,1,27,1,2,0,17,0,1
"         117  3","AM2016DHS","AM7",2213166,2016,24,1,21,1,1,1,11,3,0,0,2,5,82473,NA,3,3,0,NA,0,0,2,1,NA,1,NA
"         118  2","GU2015DHS","GU6",1039388,2015,27,1,1,1,1,1,18,5,2,2,2,5,213506,18,3,2,2,2,18,1,3,1,18,2,2
"         118  3","AM2016DHS","AM7",2213166,2016,16,1,21,1,1,1,11,4,0,0,2,5,82993,NA,3,3,0,NA,0,0,2,0,NA,0,NA
"         119  2","GU2015DHS","GU6",1039388,2015,47,1,1,1,1,1,11,5,2,2,2,5,141680,19,3,1,1,2,18,1,3,0,12,0,2
"         119  3","GU2015DHS","GU6",1039388,2015,28,1,1,1,1,1,12,5,2,2,2,5,141680,27,3,1,0,NA,20,1,2,1,NA,1,3
"         120  2","AM2016DHS","AM7",2213166,2016,46,1,21,1,1,1,12,4,0,0,2,4,66607,20,3,4,1,1,19,1,2,0,10,0,1
"         121  3","GU2015DHS","GU6",1039388,2015,33,1,1,1,1,1,18,5,2,2,0,5,217857,NA,3,3,0,NA,25,3,2,1,NA,1,1
"         121  4","GU2015DHS","GU6",1039388,2015,26,1,1,1,1,1,18,5,2,2,0,5,217857,NA,3,3,0,NA,22,3,1,1,NA,1,2
"         122  2","AM2016DHS","AM7",2213166,2016,49,1,21,1,1,1,15,6,1,0,2,5,85470,28,3,4,1,1,26,1,2,0,14,0,1
"         122  4","AM2016DHS","AM7",2213166,2016,15,1,21,1,1,1,10,6,0,0,2,5,85470,NA,3,4,0,NA,0,0,1,0,NA,0,NA
"         124  2","AM2016DHS","AM7",2213166,2016,39,1,21,1,1,1,10,3,1,0,2,5,82473,20,3,1,1,1,19,1,2,0,10,0,1
"         124  3","AM2016DHS","AM7",2213166,2016,16,1,21,1,1,1,12,3,2,2,2,5,82473,NA,3,3,0,NA,0,0,2,0,NA,0,NA
"         125  2","AM2016DHS","AM7",2213166,2016,41,1,21,1,1,1,13,2,1,1,2,5,79964,NA,3,4,2,1,36,1,1,1,15,3,1
"         127  2","AM2016DHS","AM7",2213166,2016,44,1,21,1,1,1,15,5,0,0,2,5,81842,23,3,1,1,1,22,1,2,0,14,0,1
"         127  4","AM2016DHS","AM7",2213166,2016,21,1,21,1,1,1,13,5,1,0,2,5,81842,NA,3,4,0,NA,0,0,4,0,NA,0,NA
"         2 1  2","GU2015DHS","GU6",1037117,2015,41,2,1,1,1,1,6,8,2,2,2,4,60033,21,3,1,1,1,21,1,6,0,12,0,1
"         2 1  3","GU2015DHS","GU6",1037117,2015,19,2,1,1,1,1,12,8,2,2,2,4,60033,NA,3,3,0,NA,0,0,3,0,NA,0,NA
"         2 1  5","AM2016DHS","AM7",653452,2016,22,2,21,1,1,1,12,5,0,2,2,4,62310,NA,3,3,1,1,22,1,3,0,12,0,1
"         2 2  2","GU2015DHS","GU6",1037117,2015,45,2,1,1,1,1,12,6,2,2,2,5,128400,21,3,1,1,1,20,3,4,1,6,1,1
"         2 2  3","GU2015DHS","GU6",1037117,2015,23,2,1,1,1,1,14,6,2,1,2,5,128400,NA,3,3,0,NA,0,0,2,1,NA,1,NA
"         2 2  6","AM2016DHS","AM7",653452,2016,19,2,21,1,1,1,12,6,0,1,2,4,58679,NA,3,4,1,1,19,1,2,0,14,0,1
"         2 3  2","GU2015DHS","GU6",1037117,2015,40,2,1,1,1,1,6,4,2,2,2,5,117524,20,3,2,2,1,18,1,2,1,6,9,1
"         2 3  3","GU2015DHS","GU6",1037117,2015,19,2,1,1,1,1,12,4,2,2,2,5,117524,NA,3,3,0,NA,0,0,3,1,NA,3,NA
"         2 3  4","AM2016DHS","AM7",653452,2016,29,2,21,1,1,1,14,7,1,2,2,4,63875,23,3,1,1,1,22,1,3,0,15,0,1
"         2 4  1","GU2015DHS","GU6",1037117,2015,33,2,1,1,1,1,12,3,2,0,2,5,108131,23,3,3,0,NA,22,3,3,1,NA,8,1
"         2 4  2","AM2016DHS","AM7",653452,2016,49,2,21,1,1,1,15,2,0,2,2,5,75465,23,3,4,1,1,21,1,3,0,15,0,1
"         2 4  3","GU2015DHS","GU6",1037117,2015,22,2,1,1,1,1,12,3,2,2,2,5,108131,NA,3,3,0,NA,0,0,2,1,NA,1,NA
"         2 5  2","GU2015DHS","GU6",1037117,2015,46,2,1,1,1,1,9,11,2,2,2,5,147953,16,3,2,1,1,15,1,7,0,3,0,1
"         2 5  3","GU2015DHS","GU6",1037117,2015,30,2,1,1,1,1,12,11,2,2,2,5,147953,26,3,3,1,1,24,1,3,0,11,1,1
"         2 5  6","GU2015DHS","GU6",1037117,2015,24,2,1,1,1,1,14,11,2,2,2,5,147953,NA,3,4,0,NA,0,0,2,1,NA,2,NA
"         2 7  2","AM2016DHS","AM7",653452,2016,32,2,21,1,1,1,15,5,0,2,2,5,78709,25,3,2,1,1,23,1,3,1,15,8,1
"         2 7  2","GU2015DHS","GU6",1037117,2015,34,2,1,1,1,1,6,5,0,2,2,5,91634,25,3,1,1,1,24,1,4,0,9,0,1
"         2 8  2","AM2016DHS","AM7",653452,2016,35,2,21,1,1,1,10,4,1,1,2,4,56462,24,3,1,1,1,23,1,2,1,10,1,1
"         2 8  2","GU2015DHS","GU6",1037117,2015,45,2,1,1,1,1,4,4,0,0,2,3,-1884,17,3,4,2,2,16,3,2,0,4,0,2
"         2 9  3","AM2016DHS","AM7",653452,2016,15,2,21,1,1,1,9,3,1,1,2,4,57187,NA,3,4,0,NA,0,0,2,0,NA,0,NA
"         210  2","AM2016DHS","AM7",653452,2016,29,2,21,1,1,1,10,4,0,0,2,4,68642,20,3,4,1,1,19,1,2,0,14,0,1
"         210  2","GU2015DHS","GU6",1037117,2015,44,2,1,1,1,1,18,4,2,2,2,5,204777,23,3,1,1,1,21,1,3,1,15,1,1
"         210  3","GU2015DHS","GU6",1037117,2015,20,2,1,1,1,1,12,4,2,2,2,5,204777,NA,3,3,0,NA,0,0,2,1,NA,1,NA
"         211  2","AM2016DHS","AM7",653452,2016,43,2,21,1,1,1,15,4,0,1,2,4,68966,21,3,1,1,1,19,1,3,1,15,1,1
"         211  2","GU2015DHS","GU6",1037117,2015,25,2,1,1,1,0,6,2,2,2,2,3,-25958,NA,3,3,2,1,21,1,2,0,9,0,1
"         212  2","GU2015DHS","GU6",1037117,2015,36,2,1,1,1,1,2,6,2,1,2,4,21578,18,3,1,1,2,15,1,4,1,11,9,2
"         212  4","AM2016DHS","AM7",653452,2016,36,2,21,1,1,1,10,5,0,0,2,4,56573,NA,3,4,0,NA,0,0,1,0,NA,0,NA
"         212  4","GU2015DHS","GU6",1037117,2015,18,2,1,1,1,1,8,6,0,2,2,4,21578,NA,3,3,0,NA,0,0,2,1,NA,4,NA
"         213  2","AM2016DHS","AM7",653452,2016,41,2,21,1,1,1,14,4,0,2,2,4,63117,21,3,1,1,1,21,1,2,0,10,0,1
"         213  3","GU2015DHS","GU6",1037117,2015,29,2,1,1,0,0,11,3,0,0,0,3,-34500,21,3,1,2,1,17,1,3,1,12,3,1
"         214  4","AM2016DHS","AM7",653452,2016,35,2,21,1,1,1,15,4,1,2,2,4,71735,NA,3,3,0,NA,0,0,2,1,NA,1,NA
"         215  2","GU2015DHS","GU6",1037117,2015,29,2,1,1,1,1,12,5,2,2,2,4,85072,21,3,1,1,1,20,3,4,0,11,2,1
"         216  2","GU2015DHS","GU6",1037117,2015,30,2,1,1,1,1,5,5,1,2,2,5,97219,18,3,1,1,1,17,1,5,0,9,0,1
"         216  5","AM2016DHS","AM7",653452,2016,28,2,21,1,1,1,14,6,1,1,2,4,64937,25,3,4,1,1,21,1,4,0,15,0,1
"         217  2","GU2015DHS","GU6",1037117,2015,43,2,1,1,1,1,9,3,2,2,2,5,155779,27,3,4,1,1,22,1,2,1,12,3,1
"         217  3","GU2015DHS","GU6",1037117,2015,16,2,1,1,1,1,10,3,2,0,0,5,155779,NA,3,4,0,NA,0,0,2,0,NA,0,NA
"         218  2","GU2015DHS","GU6",1037117,2015,36,2,1,1,1,1,11,3,0,2,2,5,149750,22,3,3,1,1,18,1,2,0,12,0,1
"         219  1","GU2015DHS","GU6",1037117,2015,34,2,1,1,1,1,8,5,2,0,2,4,82214,16,3,3,5,1,15,3,2,1,9,9,1
"         219  2","GU2015DHS","GU6",1037117,2015,18,2,1,1,1,1,10,5,2,2,2,4,82214,NA,3,3,0,NA,0,0,2,0,NA,0,NA
"         219  4","GU2015DHS","GU6",1037117,2015,15,2,1,1,1,1,8,5,2,2,2,4,82214,NA,3,3,0,NA,0,0,3,0,NA,0,NA
"         220  1","GU2015DHS","GU6",1037117,2015,42,2,1,1,1,1,6,5,1,2,2,5,184922,16,3,1,1,1,15,3,4,0,6,0,2
"         220  2","AM2016DHS","AM7",653452,2016,40,2,21,1,1,1,10,4,0,2,2,4,73713,25,3,1,1,1,24,1,3,0,10,0,1
"         220  2","GU2015DHS","GU6",1037117,2015,26,2,1,1,1,1,13,5,2,2,2,5,184922,NA,3,3,0,NA,23,3,3,1,NA,1,2
"         220  3","GU2015DHS","GU6",1037117,2015,21,2,1,1,1,1,12,5,2,2,2,5,184922,NA,3,3,0,NA,0,0,2,0,NA,0,NA
"         220  4","GU2015DHS","GU6",1037117,2015,18,2,1,1,1,1,11,5,2,2,2,5,184922,NA,3,3,0,NA,0,0,2,0,NA,0,NA
"         221  2","AM2016DHS","AM7",653452,2016,28,2,21,1,1,1,15,2,2,1,2,4,67323,NA,3,3,0,NA,0,0,96,1,NA,1,NA
"         221  4","GU2015DHS","GU6",1037117,2015,22,2,1,1,1,1,10,5,2,1,2,4,72452,21,3,3,2,1,16,1,1,0,6,0,3
"         222  1","GU2015DHS","GU6",1037117,2015,42,2,1,1,1,1,9,4,2,2,1,5,153273,17,3,4,5,2,15,1,2,1,3,7,3
"         222  2","AM2016DHS","AM7",653452,2016,26,2,21,1,1,1,10,3,1,1,2,4,59355,21,3,3,1,1,20,1,2,0,10,0,1
"         222  2","GU2015DHS","GU6",1037117,2015,24,2,1,1,1,1,13,4,2,1,2,5,153273,NA,3,3,0,NA,0,0,1,1,NA,1,NA
"         223  1","GU2015DHS","GU6",1037117,2015,39,2,1,1,1,1,6,4,2,2,2,5,90156,22,3,1,5,1,22,2,3,1,2,9,1
"         223  2","GU2015DHS","GU6",1037117,2015,17,2,1,1,1,1,7,4,0,2,2,5,90156,NA,3,3,0,NA,0,0,2,1,NA,3,NA
"         224  3","AM2016DHS","AM7",653452,2016,40,2,21,1,1,1,15,6,1,0,2,4,66739,19,3,2,1,1,18,1,3,0,12,0,1
"         224  3","GU2015DHS","GU6",1037117,2015,24,2,1,1,1,1,11,8,1,2,2,4,71877,21,3,3,5,1,20,2,2,1,12,7,1
"         224  4","AM2016DHS","AM7",653452,2016,21,2,21,1,1,1,12,6,1,0,2,4,66739,NA,3,3,0,NA,0,0,3,0,NA,0,NA
"         224  4","GU2015DHS","GU6",1037117,2015,18,2,1,1,1,1,9,8,2,1,2,4,71877,NA,3,3,0,NA,0,0,3,1,NA,3,NA
"         224  5","GU2015DHS","GU6",1037117,2015,15,2,1,1,1,1,6,8,2,2,2,4,71877,NA,3,3,0,NA,0,0,3,0,NA,0,NA
"         225  1","AM2016DHS","AM7",653452,2016,30,2,21,1,1,1,15,3,0,0,1,3,15286,27,3,4,4,1,27,2,1,0,NA,7,1
"         225  2","GU2015DHS","GU6",1037117,2015,41,2,1,1,1,1,11,3,2,2,2,4,54045,22,3,4,5,1,22,3,2,1,11,1,4
"         225  3","GU2015DHS","GU6",1037117,2015,18,2,1,1,1,1,10,3,1,2,0,4,54045,NA,3,3,0,NA,0,0,1,0,NA,0,NA
"         226  2","AM2016DHS","AM7",653452,2016,30,2,21,1,1,1,10,2,0,0,1,3,38917,NA,3,4,0,NA,0,0,2,0,NA,0,NA
"         227  5","AM2016DHS","AM7",653452,2016,38,2,21,1,1,1,15,7,2,0,2,4,66568,25,3,2,1,1,24,1,2,1,15,1,1
"         3 1  4","AM2016DHS","AM7",2277879,2016,26,3,21,1,1,1,10,6,2,0,2,3,38680,23,3,4,1,1,19,1,2,0,8,0,1
"         3 2  2","GU2015DHS","GU6",1240235,2015,36,3,1,1,1,1,8,4,2,2,2,4,46396,26,3,3,1,1,26,1,2,1,6,8,1
"         3 2  4","AM2016DHS","AM7",2277879,2016,25,3,21,1,1,1,10,6,0,0,2,4,70210,NA,3,3,0,NA,0,0,1,1,NA,3,NA
"         3 2  4","GU2015DHS","GU6",1240235,2015,18,3,1,1,1,1,6,4,1,2,2,4,46396,NA,3,3,0,NA,0,0,4,1,NA,9,NA
"         3 2  5","AM2016DHS","AM7",2277879,2016,35,3,21,1,1,1,10,6,0,0,2,4,70210,28,3,4,1,1,27,1,2,0,10,0,1
"         3 3  2","AM2016DHS","AM7",2277879,2016,33,3,21,1,1,1,10,5,2,2,2,4,56033,21,3,1,1,1,19,1,3,0,10,0,1
"         3 3  3","GU2015DHS","GU6",1240235,2015,24,3,1,1,1,1,11,5,1,2,2,5,135285,NA,3,1,0,NA,22,1,2,1,NA,2,1
"         3 3  4","GU2015DHS","GU6",1240235,2015,18,3,1,1,1,1,8,5,0,2,2,5,135285,NA,3,3,5,1,15,1,2,1,12,3,5
"         3 4  1","AM2016DHS","AM7",2277879,2016,35,3,21,1,1,1,12,5,0,1,2,2,4576,21,3,3,1,1,19,3,3,0,10,0,1
"         3 4  2","GU2015DHS","GU6",1240235,2015,41,3,1,1,1,1,9,6,2,2,2,5,108735,17,3,1,1,2,16,1,2,1,6,3,2
"         3 4  4","GU2015DHS","GU6",1240235,2015,20,3,1,1,1,1,9,6,1,2,1,5,108735,18,3,3,0,NA,17,2,2,1,NA,7,1
"         3 5  5","AM2016DHS","AM7",2277879,2016,25,3,21,1,1,1,12,7,2,0,2,4,64396,NA,3,4,1,1,25,1,2,0,12,0,1
"         3 5  6","AM2016DHS","AM7",2277879,2016,25,3,21,1,1,1,15,7,0,0,2,4,64396,23,3,4,1,1,23,1,3,1,15,1,1
"         3 7  2","GU2015DHS","GU6",1240235,2015,26,3,1,1,1,1,0,5,0,2,1,4,87862,18,3,3,2,1,16,1,3,1,1,7,1
"         3 7  3","AM2016DHS","AM7",2277879,2016,26,3,21,1,1,1,12,3,1,2,2,4,67491,NA,3,4,0,NA,0,0,2,1,NA,7,NA
"         3 7  5","GU2015DHS","GU6",1240235,2015,16,3,1,1,1,1,6,5,2,2,2,4,87862,NA,3,4,0,NA,0,0,3,1,NA,7,NA
"         3 8  2","GU2015DHS","GU6",1240235,2015,44,3,1,1,1,1,6,3,2,2,2,5,100883,18,3,1,2,2,16,1,2,1,6,3,4
"         3 9  4","AM2016DHS","AM7",2277879,2016,31,3,21,1,1,1,10,11,0,2,2,5,85192,21,3,1,1,1,20,1,3,0,12,0,1
"         3 9  8","AM2016DHS","AM7",2277879,2016,29,3,21,1,1,1,14,11,0,2,2,5,85192,24,3,1,1,1,23,1,3,0,15,0,1
"         310  1","GU2015DHS","GU6",1240235,2015,37,3,1,1,1,1,9,2,0,2,2,4,65536,21,3,1,5,1,20,1,1,0,6,7,3
"         311  3","AM2016DHS","AM7",2277879,2016,22,3,21,1,1,1,12,3,0,2,2,3,41868,NA,3,3,0,NA,0,0,3,1,NA,3,NA
"         312  4","AM2016DHS","AM7",2277879,2016,44,3,21,1,1,1,10,5,0,2,2,4,56573,22,3,4,1,9,19,3,2,1,15,7,1
"         312  5","AM2016DHS","AM7",2277879,2016,21,3,21,1,1,1,12,5,2,2,2,4,56573,NA,3,3,0,NA,0,0,3,1,NA,3,NA
"         313  3","GU2015DHS","GU6",1240235,2015,40,3,1,1,1,1,17,5,2,2,2,5,163659,NA,3,4,0,NA,29,3,1,1,NA,1,2
"         313  4","AM2016DHS","AM7",2277879,2016,35,3,21,1,1,1,15,5,2,2,2,3,51276,21,3,3,4,1,19,3,2,1,NA,2,1
"         313  5","GU2015DHS","GU6",1240235,2015,29,3,1,1,1,1,17,5,2,2,2,5,163659,NA,3,1,0,NA,16,1,1,1,NA,1,2
"         314  2","GU2015DHS","GU6",1240235,2015,29,3,1,1,1,1,11,4,2,2,2,5,103863,20,3,2,2,1,16,1,3,0,9,2,2
"         315  4","AM2016DHS","AM7",2277879,2016,30,3,21,1,1,1,10,6,0,0,2,5,81240,17,3,1,1,1,16,1,2,0,10,0,1
"         316  2","GU2015DHS","GU6",1240235,2015,46,3,1,1,1,1,6,4,2,2,2,5,120053,23,3,1,1,2,21,3,5,1,5,9,2
"         317  2","GU2015DHS","GU6",1240235,2015,28,3,1,1,1,1,8,6,2,2,2,5,102828,16,3,3,1,1,15,1,2,1,9,3,4
"         317  3","AM2016DHS","AM7",2277879,2016,27,3,21,1,1,1,12,4,2,0,0,4,59927,NA,3,3,0,NA,0,0,96,1,NA,1,NA
"         318  2","AM2016DHS","AM7",2277879,2016,25,3,21,1,1,1,12,4,1,0,2,4,59334,22,3,3,1,1,21,1,3,0,10,0,1
"         318  3","GU2015DHS","GU6",1240235,2015,29,3,1,1,1,1,18,3,2,2,1,5,192022,NA,3,3,0,NA,0,0,2,1,NA,1,NA
"         319  2","GU2015DHS","GU6",1240235,2015,42,3,1,1,1,1,6,6,2,2,2,5,149731,19,3,1,2,2,16,2,4,1,9,3,2
"         319  4","AM2016DHS","AM7",2277879,2016,25,3,21,1,1,1,14,6,1,1,2,4,58337,23,3,4,1,1,22,1,2,0,10,0,1
"         319  6","AM2016DHS","AM7",2277879,2016,35,3,21,1,1,1,15,6,2,2,2,4,58337,NA,3,4,0,NA,0,0,1,1,NA,1,NA
"         320  2","AM2016DHS","AM7",2277879,2016,46,3,21,1,1,1,13,3,0,0,0,4,56573,18,3,4,1,1,18,1,2,0,13,0,1
"         320  3","AM2016DHS","AM7",2277879,2016,25,3,21,1,1,1,14,3,1,1,2,4,56573,NA,3,3,0,NA,0,0,1,0,NA,0,NA
"         321  2","AM2016DHS","AM7",2277879,2016,34,3,21,1,1,1,10,5,0,2,2,3,51447,25,3,4,1,1,20,1,2,0,10,0,1
"         322  2","AM2016DHS","AM7",2277879,2016,43,3,21,1,1,1,13,4,2,2,2,3,53327,22,3,1,1,1,17,1,3,0,13,0,61
"         322  3","AM2016DHS","AM7",2277879,2016,21,3,21,1,1,1,13,4,2,2,2,3,53327,NA,3,3,0,NA,0,0,4,0,NA,0,NA
"         322  3","GU2015DHS","GU6",1240235,2015,27,3,1,1,1,1,13,6,2,2,1,5,118274,16,3,3,0,NA,16,3,1,1,NA,2,1
"         324  2","AM2016DHS","AM7",2277879,2016,37,3,21,1,1,1,10,4,2,0,2,4,72213,19,3,1,1,1,18,1,4,1,10,1,1
"         324  2","GU2015DHS","GU6",1240235,2015,39,3,1,1,1,1,2,6,2,2,2,4,45983,17,3,1,1,1,16,3,3,1,0,7,1
"         324  6","GU2015DHS","GU6",1240235,2015,37,3,1,1,1,1,6,6,2,2,2,4,45983,17,3,1,5,1,15,3,2,1,11,8,1
"         325  1","GU2015DHS","GU6",1240235,2015,19,3,1,1,1,1,9,3,2,1,2,5,98623,NA,3,3,0,NA,0,0,3,1,NA,3,NA
"         325  4","AM2016DHS","AM7",2277879,2016,28,3,21,1,1,1,10,6,0,0,2,2,10299,17,3,4,1,9,16,1,2,0,8,0,1
"         326  4","AM2016DHS","AM7",2277879,2016,24,3,21,1,1,1,15,10,0,0,2,4,56719,22,3,1,1,1,20,1,2,0,10,0,1
"         326  5","AM2016DHS","AM7",2277879,2016,40,3,21,1,1,1,10,10,1,0,2,4,56719,24,3,4,1,1,22,1,2,0,10,7,1
"         326  6","AM2016DHS","AM7",2277879,2016,16,3,21,1,1,1,11,10,0,0,2,4,56719,NA,3,4,0,NA,0,0,4,0,NA,0,NA
"         326  8","AM2016DHS","AM7",2277879,2016,15,3,21,1,1,1,9,10,0,0,2,4,56719,NA,3,4,0,NA,0,0,2,0,NA,0,NA
"         327  4","AM2016DHS","AM7",2277879,2016,22,3,21,1,1,1,14,5,1,0,2,4,66055,NA,3,3,1,1,20,1,2,0,12,0,1
"         328  3","AM2016DHS","AM7",2277879,2016,48,3,21,1,1,1,13,6,0,0,1,4,63343,25,3,4,1,1,22,1,4,1,15,7,1
"         328  4","AM2016DHS","AM7",2277879,2016,23,3,21,1,1,1,13,6,0,0,2,4,63343,NA,3,4,0,NA,0,0,4,1,NA,1,NA
"         328  5","AM2016DHS","AM7",2277879,2016,22,3,21,1,1,1,14,6,2,1,2,4,63343,NA,3,4,0,NA,0,0,2,0,NA,0,NA
"         4 1  2","AM2016DHS","AM7",1505381,2015,46,4,21,1,1,1,14,2,2,2,2,5,87736,20,3,4,1,1,19,1,3,0,14,0,1
"         4 3  1","GU2015DHS","GU6",845361,2015,40,4,1,1,1,1,18,6,2,2,2,5,203203,22,3,1,2,1,20,1,3,0,9,0,1
"         4 3  2","AM2016DHS","AM7",1505381,2015,33,4,21,1,1,1,15,5,2,2,2,5,98434,26,3,3,1,1,26,1,3,0,15,0,1
"         4 5  1","AM2016DHS","AM7",1505381,2015,46,4,21,1,1,1,10,3,2,2,2,5,83826,26,3,4,3,1,23,3,2,0,NA,0,1
"         4 5  1","GU2015DHS","GU6",845361,2015,45,4,1,1,1,1,15,3,2,2,1,5,177010,25,3,4,5,1,24,3,3,1,12,3,1
"         4 5  2","AM2016DHS","AM7",1505381,2015,19,4,21,1,1,1,11,3,2,2,2,5,83826,NA,3,3,0,NA,0,0,4,0,NA,0,NA
"         4 5  2","GU2015DHS","GU6",845361,2015,19,4,1,1,1,1,11,3,2,2,2,5,177010,NA,3,3,0,NA,0,0,3,0,NA,0,NA
"         4 6  2","AM2016DHS","AM7",1505381,2015,36,4,21,1,1,1,10,3,2,2,2,5,110572,26,3,1,1,1,20,1,2,0,15,0,1
"         4 7  1","AM2016DHS","AM7",1505381,2015,44,4,21,1,1,1,15,4,2,2,2,5,83305,22,3,4,3,1,21,3,3,1,NA,1,1
"         4 7  1","GU2015DHS","GU6",845361,2015,23,4,1,1,1,1,16,3,2,2,2,5,162992,NA,3,3,0,NA,0,0,2,1,NA,2,NA
"         4 7  2","AM2016DHS","AM7",1505381,2015,21,4,21,1,1,1,12,4,2,2,2,5,83305,NA,3,3,0,NA,0,0,4,0,NA,0,NA
"         4 7  3","AM2016DHS","AM7",1505381,2015,22,4,21,1,1,1,13,4,2,2,2,5,83305,NA,3,3,0,NA,0,0,3,0,NA,0,NA
"         4 7  3","GU2015DHS","GU6",845361,2015,17,4,1,1,1,1,11,3,0,2,1,5,162992,NA,3,3,0,NA,0,0,2,0,NA,0,NA
"         4 8  2","AM2016DHS","AM7",1505381,2015,49,4,21,1,1,1,15,6,2,2,2,5,102033,24,3,2,1,1,23,1,4,1,17,1,1
"         4 8  6","AM2016DHS","AM7",1505381,2015,24,4,21,1,1,1,17,6,2,2,2,5,102033,NA,3,4,0,NA,0,0,3,0,NA,0,NA
"         4 9  2","AM2016DHS","AM7",1505381,2015,30,4,21,1,1,1,15,3,2,2,2,5,107473,25,3,4,1,1,23,1,3,1,15,1,1
"         410  2","AM2016DHS","AM7",1505381,2015,47,4,21,1,1,1,15,4,2,2,2,5,111203,27,3,1,1,1,25,1,2,1,15,7,1
"         410  3","GU2015DHS","GU6",845361,2015,25,4,1,1,1,1,13,7,2,2,2,5,162695,22,3,3,4,1,20,3,1,1,17,1,1
"         411  4","AM2016DHS","AM7",1505381,2015,31,4,21,1,1,1,15,6,2,2,2,5,108700,27,3,2,1,1,25,1,3,0,15,0,1
"         412  2","AM2016DHS","AM7",1505381,2015,37,4,21,1,1,1,15,5,2,0,2,5,83938,24,3,2,1,1,22,1,4,1,14,99,1
"         414  1","GU2015DHS","GU6",845361,2015,48,4,1,1,1,1,3,4,1,1,2,5,88816,27,3,1,3,1,26,3,2,1,10,7,2
"         414  2","AM2016DHS","AM7",1505381,2015,35,4,21,1,1,1,15,4,2,2,2,5,84042,23,3,1,1,1,21,1,4,1,13,1,1
"         414  2","GU2015DHS","GU6",845361,2015,21,4,1,1,1,1,14,4,2,2,2,5,88816,NA,3,1,0,NA,18,1,2,1,NA,3,1
"         415  2","AM2016DHS","AM7",1505381,2015,49,4,21,1,1,1,13,3,1,1,2,5,107058,23,3,4,1,1,22,1,2,0,15,0,1
